time ms,free,max,total
21,402029784,1065025536,417267712
1041,404535896,1065025536,417267712
2048,413565776,1065025536,417267712
3049,407121984,1065025536,417267712
4051,399465232,1065025536,417267712
5052,398573400,1065025536,417267712
6055,395573128,1065025536,417267712
7058,397696768,1065025536,417267712
8059,389441960,1065025536,417267712
9061,384931792,1065025536,417267712
10061,378763432,1065025536,417267712
11062,371933336,1065025536,417267712
12063,363470288,1065025536,417267712
13064,355336208,1065025536,417267712
14066,343488240,1065025536,417267712
15067,345470256,1065025536,417267712
16067,335760400,1065025536,417267712
17101,338950256,1065025536,417267712
18102,333320752,1065025536,417267712
19103,322553264,1065025536,417267712
20105,320403816,1065025536,417267712
21106,323128352,1065025536,417267712
22108,310039752,1065025536,417267712
23109,299907176,1065025536,417267712
24109,304133128,1065025536,417267712
25111,303657744,1065025536,417267712
26112,302124240,1065025536,417267712
27113,303482832,1065025536,417267712
28114,284898720,1065025536,417267712
29115,292195256,1065025536,417267712
30117,291222952,1065025536,417267712
31118,290100920,1065025536,417267712
32119,287273704,1065025536,417267712
33120,289570112,1065025536,417267712
34121,274849904,1065025536,417267712
35122,278490696,1065025536,417267712
36124,265025400,1065025536,417267712
37125,265961480,1065025536,417267712
38126,267761992,1065025536,417267712
39127,252430264,1065025536,417267712
40128,254606520,1065025536,417267712
41130,250923016,1065025536,417267712
42131,235990824,1065025536,417267712
43131,240526392,1065025536,417267712
44133,226808040,1065025536,417267712
45133,227269904,1065025536,417267712
46135,216398680,1065025536,417267712
47136,218074672,1065025536,417267712
48136,217828104,1065025536,417267712
49137,200545176,1065025536,417267712
50139,263195296,1065025536,417267712
51153,260111016,1065025536,417267712
52154,241503488,1065025536,417267712
53155,241184200,1065025536,417267712
54156,244058912,1065025536,417267712
55158,233870832,1065025536,417267712
56159,227964800,1065025536,417267712
57160,229405448,1065025536,417267712
58162,212868760,1065025536,417267712
59162,218042944,1065025536,417267712
60163,204507400,1065025536,417267712
61163,209268448,1065025536,417267712
62164,194633704,1065025536,417267712
63166,199109920,1065025536,417267712
64167,198133368,1065025536,417267712
65181,195791976,1065025536,417267712
66182,177079968,1065025536,417267712
67183,176085136,1065025536,417267712
68184,176866328,1065025536,417267712
69185,162268624,1065025536,417267712
70185,162463840,1065025536,417267712
71187,160117096,1065025536,417267712
72187,157878200,1065025536,417267712
73189,155446624,1065025536,417267712
74190,154071968,1065025536,417267712
75191,136586184,1065025536,417267712
76192,136906256,1065025536,417267712
77193,137268280,1065025536,417267712
78194,120158088,1065025536,417267712
79195,119872944,1065025536,417267712
80196,116769224,1065025536,417267712
81197,115619224,1065025536,417267712
82198,113703944,1065025536,417267712
83199,96528512,1065025536,417267712
84200,95587680,1065025536,417267712
85200,96622064,1065025536,417267712
86201,93438520,1065025536,417267712
87202,76237056,1065025536,417267712
88202,73353696,1065025536,417267712
89204,71761784,1065025536,417267712
90205,69012008,1065025536,417267712
91206,68148944,1065025536,417267712
92207,64524600,1065025536,417267712
93208,44841304,1065025536,417267712
94209,43287984,1065025536,417267712
95210,40615856,1065025536,417267712
96301,46467896,1065025536,417267712
97302,186920096,1065025536,417267712
98303,183857688,1065025536,417267712
99304,180727296,1065025536,417267712
100306,179873400,1065025536,417267712
101307,176610336,1065025536,417267712
102307,158585568,1065025536,417267712
103308,155312264,1065025536,417267712
104309,152695560,1065025536,417267712
105311,155024992,1065025536,417267712
106312,140609464,1065025536,417267712
107313,140037080,1065025536,417267712
108314,140789712,1065025536,417267712
109315,126695344,1065025536,417267712
110316,128807112,1065025536,417267712
111317,126050344,1065025536,417267712
112319,123923664,1065025536,417267712
113320,105942232,1065025536,417267712
114321,103200096,1065025536,417267712
115322,100619136,1065025536,417267712
116323,98706248,1065025536,417267712
117324,95903152,1065025536,417267712
118337,94135256,1065025536,417267712
119338,75727200,1065025536,417267712
120339,75273096,1065025536,417267712
