HouseIdentifier, NumBurglaries
"1000033524429", 0
"1000033524430", 0
"1000033524431", 0
"1000033524560", 0
"1000033524561", 0
"1000033524570", 0
"1000033524571", 0
"1000000083491762", 0
"1000033524572", 0
"1000033524573", 0
"1000033524574", 0
"1000033525964", 0
"1000033526162", 0
"1000033526201", 0
"1000033526331", 0
"1000033526406", 0
"1000033527963", 0
"1000033527964", 0
"1000033527965", 0
"1000033527966", 0
"1000033527967", 0
"1000033528215", 0
"1000033528216", 0
"1000033528217", 0
"1000033528481", 0
"1000033528482", 0
"1000033528483", 0
"1000033528484", 0
"1000033528485", 0
"1000033528543", 0
"1000033562588", 0
"1000033562589", 0
"1000033562590", 0
"1000033562591", 0
"1000033562593", 0
"1000033562594", 0
"1000033562596", 0
"1000033562597", 0
"1000033562599", 0
"1000033562600", 0
"1000033562602", 0
"1000033562603", 0
"1000033562605", 0
"1000033562606", 0
"1000033562607", 0
"1000033562608", 0
"1000033562610", 0
"1000033562611", 0
"1000033562612", 0
"1000033562613", 0
"1000033562615", 0
"1000033562616", 0
"1000033562671", 0
"1000033562672", 0
"1000033562674", 0
"1000033562675", 0
"1000033562676", 0
"1000033562677", 0
"1000033562678", 0
"1000033562679", 0
"1000033562680", 0
"1000033562681", 0
"1000033562682", 0
"1000033562683", 0
"1000033562685", 0
"1000033562686", 0
"1000033562688", 0
"1000033562689", 0
"1000033562691", 0
"1000033562692", 0
"1000033562694", 0
"1000033562695", 0
"1000033562696", 0
"1000033562697", 0
"1000033562699", 0
"1000033562700", 0
"1000033562701", 0
"1000033562702", 0
"1000033562703", 0
"1000033562704", 0
"1000033562705", 0
"1000033562706", 0
"1000033562707", 0
"1000033562708", 0
"1000033562709", 0
"1000033562710", 0
"1000033560098", 0
"1000033560099", 0
"1000033560254", 0
"1000033560255", 0
"1000033560256", 0
"1000033560258", 0
"1000033560259", 0
"1000033560260", 0
"1000033560261", 0
"1000033560263", 0
"1000033560264", 0
"1000033560265", 0
"1000033560266", 0
"1000033560267", 0
"1000033560268", 0
"1000033560269", 0
"1000033560270", 0
"1000033560271", 0
"1000033560272", 0
"1000033560273", 0
"1000033560274", 0
"1000033560275", 0
"1000033560276", 0
"1000033560281", 0
"1000033560282", 0
"1000033560283", 0
"1000033560284", 0
"1000033560285", 0
"1000033560286", 0
"1000033560287", 0
"1000033560288", 0
"1000033560289", 0
"1000033560290", 0
"1000033560291", 0
"1000033560292", 0
"1000033560293", 0
"1000033560294", 0
"1000033560295", 0
"1000033560296", 0
"1000033560297", 0
"1000033560298", 0
"1000033560299", 0
"1000033560300", 0
"1000033560301", 0
"1000033560302", 0
"1000033562400", 0
"1000033562401", 0
"1000033562403", 0
"1000033562404", 0
"1000033562405", 0
"1000033562406", 0
"1000033562408", 0
"1000033562409", 0
"1000033562410", 0
"1000033562411", 0
"1000033562413", 0
"1000033562414", 0
"1000033562419", 0
"1000033562421", 0
"1000033562422", 0
"1000033562424", 0
"1000033562425", 0
"1000033562426", 0
"1000033562427", 0
"1000033562429", 0
"1000033562430", 0
"1000033562431", 0
"1000033562432", 0
"1000033562434", 0
"1000033562435", 0
"1000033562437", 0
"1000033562438", 0
"1000033562440", 0
"1000033562441", 0
"1000033562442", 0
"1000033562443", 0
"1000033562444", 0
"1000033562445", 0
"1000033562446", 0
"1000033562447", 0
"1000033562449", 0
"1000033562450", 0
"1000033562452", 0
"1000033562453", 0
"1000033562455", 0
"1000033562456", 0
"1000033562463", 0
"1000033562464", 0
"1000033562465", 0
"1000033562467", 0
"1000033562468", 0
"1000033562470", 0
"1000033562471", 0
"1000033562473", 0
"1000033562474", 0
